"","BBN_10099_MTG_P3WH10_001","BBN_10109_MTG_P4WA3_001","BBN_10611_MTG_P2WD10_001","BBN_14801_MTG_P1WH9_001","BBN_16213_MTG_P2WH3_001","BBN_18399_MTG_P2WF5_001","BBN_19214_MTG_P2WA3_001","BBN_21792_MTG_P2WG7_001","BBN_24279_MTG_P2WA6_001","BBN_24370_MTG_P3WD4_001","BBN_24578_MTG_P3WF1_001","BBN_7115_MTG_P1WF4_001","BBN_7403_MTG_P1WF7_001","BBN_7404_MTG_P1WF10_001","BBN_7540_MTG_P1WG4_001","BBN_7545_MTG_P1WG7_001","BBN_7617_MTG_P1WH4_001","BBN_9984_MTG_P3WD1_001","BBN002.26094_MTG_P3WC8_001","BBN002.29089_MTG_P3WD7_001","BBN002.29170_MTG_P3WE8_001","BBN002.30035_MTG_P2WG10_001","BBN002.30127_MTG_P3WA4_001","BBN003.26332_MTG_P1WD4_001","BBN003.26333_MTG_P1WD7_001","BBN003.26941_MTG_P2WA9_001","BBN003.26951_MTG_P2WB2_001","BBN003.28342_MTG_P2WB5_001","BBN003.32185_MTG_P1WA5_001","BBN003.32196_MTG_P1WA8_001","BBN003.32205_MTG_P1WB5_001","BBN003.32212_MTG_P1WC1_001","BBN003.32228_MTG_P1WC5_001","BBN003.32235_MTG_P1WC8_001","BBN003.32295_MTG_P1WE3_001","BBN003.33729_MTG_P2WC3_001","BBN003.34161_MTG_P2WC6_001","BBN003.35446_MTG_P2WD1_001","BBN003.35520_MTG_P2WD4_001"
"GPC1",15.7369,21.9007,17.976,NA,12.0865,NA,39.498,31.5158,19.1045,17.2394,23.4025,NA,13.8491,24.1707,NA,16.413,28.3747,26.1017,NA,9.50839,16.4537,16.3369,10.3142,NA,NA,36.8731,34.6925,24.8928,NA,14.4811,NA,22.8824,30.0402,33.0278,30.3602,18.1362,22.0423,27.6182,NA
"PFN2",206.372,402.311,228.76,596.525,269.762,225.064,286.46,273.483,247.861,243.02,201.363,283.794,286.62,164.994,292.623,312.598,539.109,489.522,400.532,426.215,698.785,243.61,222.475,331.006,461.658,254.956,89.6995,136.507,483.471,563.615,258.207,328.978,472.985,406.417,277.212,529.869,240.962,437.907,402.365
"CTNNB1",196.947,189.121,179.51,168.598,182.451,171.027,206.622,213.232,169.151,167.684,177.557,199.139,207.436,179.163,227.322,191.062,253.876,192.287,185.659,113.366,194.645,158.777,149.519,164.356,196.009,218.951,195.876,213.539,183.244,190.75,194.465,183.498,188.296,207.165,193.019,194.904,166.962,247.638,196.43
"PHB1",800.002,645.218,640.062,575.932,684.573,730.364,695.29,722.37,629.674,673.709,720.304,581.854,664.484,725.683,675.436,751.602,639.266,729.27,645.937,693.138,673.789,580.083,648.573,663.651,587.562,722.198,651.52,842.082,556.463,702.428,728.478,554.89,512.882,591.262,727.593,538.778,736.844,536.668,697.596
"SERPINB6",51.1683,37.8437,45.2347,34.5607,21.258,37.9108,43.0925,32.2334,47.5229,46.7865,42.3939,66.2544,41.9946,58.7322,49.6152,14.2054,33.5014,31.3178,40.8643,32.0928,21.8863,88.4031,59.5545,69.1167,44.7823,58.9585,78.4734,58.8922,48.7679,NA,95.1732,46.0506,32.2742,NA,60.7771,43.3035,54.4942,46.55,13.8398
"RDX",NA,91.5676,86.2393,53.7944,81.3702,75.4177,57.3308,81.6799,53.85,108.343,76.4486,102.749,61.8582,39.0446,50.4313,45.9384,83.1114,59.683,79.4284,140.581,105.67,86.0195,84.0925,54.81,83.6825,54.6908,57.6244,53.822,66.9915,60.1591,78.9392,91.1869,87.8752,121.418,63.751,121.912,81.055,68.3389,48.7448
"RPA3",32.9656,62.3246,60.8589,64.1228,68.5063,55.6328,64.9396,76.4958,76.1868,77.1766,75.1405,65.3606,87.5213,64.7094,79.094,64.028,60.8538,84.1445,NA,66.2425,82.8959,62.9415,74.7,66.4821,62.2143,65.5991,47.0935,58.6698,65.6911,68.9484,103.408,81.6289,101.531,53.0506,82.82,58.8972,70.8111,59.8937,42.0969
"RPL22",124.106,149.826,162.19,154.654,152.745,137.956,137.475,125.317,133.002,164.83,159.245,146.815,128.218,150.318,151.317,133.674,149.24,155.782,118.641,182.951,110.702,160.565,156.516,159.14,144.203,133.218,136.953,124.786,100.872,137.316,187.82,99.014,165.835,122.479,109.615,149.153,164.37,102.914,116.308
"SPR",51.0534,47.9024,49.1308,31.1992,32.1332,43.8774,39.318,38.7306,40.6676,39.9022,31.6444,32.8208,50.1995,38.1658,50.1836,41.2103,75.0853,50.615,81.7128,55.1359,45.3389,39.8716,44.8084,27.9423,44.4385,37.6508,38.9777,26.0079,41.3865,41.4513,56.9354,26.6053,70.813,42.3933,44.0688,53.7683,44.1405,43.7582,29.396
"CBS",39.1938,33.8263,31.8134,16.5933,41.9966,29.5432,40.5362,42.4138,30.8877,37.3498,34.3543,63.0215,38.1581,32.1547,54.8886,19.2828,66.589,53.7074,50.7984,30.9221,38.1329,44.4563,43.778,NA,40.4334,42.2987,34.6276,45.474,55.6337,39.9589,62.6411,40.5185,68.6348,42.678,31.0879,52.1381,46.3861,64.4237,38.419
