"","BBN_10099_MTG_P3WH10_001","BBN_10109_MTG_P4WA3_001","BBN_10611_MTG_P2WD10_001","BBN_14801_MTG_P1WH9_001","BBN_16213_MTG_P2WH3_001","BBN_18399_MTG_P2WF5_001","BBN_19214_MTG_P2WA3_001","BBN_21792_MTG_P2WG7_001","BBN_24279_MTG_P2WA6_001","BBN_24370_MTG_P3WD4_001","BBN_24578_MTG_P3WF1_001","BBN_7115_MTG_P1WF4_001","BBN_7403_MTG_P1WF7_001","BBN_7404_MTG_P1WF10_001","BBN_7540_MTG_P1WG4_001","BBN_7545_MTG_P1WG7_001","BBN_7617_MTG_P1WH4_001","BBN_9984_MTG_P3WD1_001","BBN002.26094_MTG_P3WC8_001","BBN002.29089_MTG_P3WD7_001","BBN002.29170_MTG_P3WE8_001","BBN002.30035_MTG_P2WG10_001","BBN002.30127_MTG_P3WA4_001","BBN003.26332_MTG_P1WD4_001","BBN003.26333_MTG_P1WD7_001","BBN003.26941_MTG_P2WA9_001","BBN003.26951_MTG_P2WB2_001","BBN003.28342_MTG_P2WB5_001","BBN003.32185_MTG_P1WA5_001","BBN003.32196_MTG_P1WA8_001","BBN003.32205_MTG_P1WB5_001","BBN003.32212_MTG_P1WC1_001","BBN003.32228_MTG_P1WC5_001","BBN003.32235_MTG_P1WC8_001","BBN003.32295_MTG_P1WE3_001","BBN003.33729_MTG_P2WC3_001","BBN003.34161_MTG_P2WC6_001","BBN003.35446_MTG_P2WD1_001","BBN003.35520_MTG_P2WD4_001"
"H3-7",699.175,921.409,1114.22,780.687,494.038,837.884,958.067,950.477,678.512,1097.41,1157.48,973.9,701.652,638.063,1228.42,772.107,2177.96,1204.84,859.802,1292.88,1021.01,1360.59,963.25,873.569,1164.33,974.238,923.946,1186.32,1276.42,1048.16,2173.08,993.185,1391,1040.19,689.663,1813.14,1241.78,1136.74,804.928
"NDUFAF5",31.9652,27.1788,22.2886,NA,NA,32.7703,35.0375,38.6402,25.2317,35.2706,30.0297,NA,24.2035,23.7663,34.8692,32.2159,NA,47.2088,NA,30.5901,NA,33.8496,NA,NA,30.4539,52.1718,17.2863,30.6801,NA,NA,NA,NA,37.2909,29.0123,23.4499,26.8344,39.7789,NA,NA
"SOGA3",67.1681,63.1431,63.9969,53.6028,98.369,83.5446,113.646,112.378,125.193,80.3657,98.4127,66.2628,94.4647,103.612,93.0278,89.4577,69.6408,67.9755,93.61,62.7772,61.6596,90.8941,80.9277,99.4217,119.466,82.4425,117.619,118.378,63.8075,95.3466,94.6075,100.952,108.957,98.1664,107.786,56.9254,96.4397,97.7616,83.2108
"ARFGEF3",13.8931,NA,9.91431,NA,21.9248,21.9035,24.7127,20.6291,22.7318,NA,27.572,NA,25.5628,18.02,23.6414,14.8001,16.4619,NA,21.676,34.9413,NA,23.9785,19.5656,NA,17.6711,NA,22.6521,25.5261,17.8143,NA,NA,17.2659,NA,19.0429,16.2144,NA,20.3629,25.8863,5.53852
"LYRM7",28.1979,21.9064,NA,21.5621,20.7846,15.3814,19.617,18.2866,18.9754,20.5066,31.0023,35.3087,20.2753,26.969,20.2324,25.8009,10.0614,23.9172,12.25,24.0929,19.2951,22.3224,25.9763,14.3468,24.2642,20.1528,15.9744,15.365,18.123,20.3023,7.11455,21.1898,24.7615,15.692,34.2845,12.9595,22.0397,18.5515,24.0955
"VPS53",31.1806,23.5653,33.359,21.4974,29.8507,34.3367,32.2452,32.7793,34.748,24.834,37.7659,23.9723,34.0104,39.3432,35.0439,35.4904,31.8844,29.0841,48.9748,16.7214,29.5792,41.4946,51.2369,25.8313,36.2402,30.8247,36.2857,43.8993,29.8731,29.891,37.741,31.9765,38.7139,34.5901,28.3318,32.1714,31.4988,28.7043,39.2471
"EEF1A1P5",555.736,650.139,633.167,460.755,612.932,716.214,679.235,601.431,452.864,465.201,539.394,652.929,520.828,511.151,702.823,510.146,998.497,645.116,630.292,611.806,667.893,726.292,670.955,578.093,763.639,877.798,626.938,639.007,644.717,623.73,868.858,587.812,672.603,713.578,504.855,805.924,643.846,1148.18,549.781
"YOD1",NA,16.1556,NA,17.2583,7.81605,NA,9.87184,13.0237,NA,7.63813,13.2443,6.87437,14.0427,NA,12.6462,8.18604,5.12528,NA,NA,4.58786,NA,12.435,9.07212,24.1935,NA,7.40404,NA,NA,NA,11.192,23.9382,NA,NA,NA,NA,8.30445,NA,NA,NA
"SNX30",42.4162,33.4445,24.588,23.5513,33.689,32.4449,40.1166,32.723,39.1718,22.534,25.9919,31.5561,33.2352,41.3182,32.1234,43.2033,23.9449,42.3218,26.1531,28.7819,21.3148,35.439,30.3842,33.4245,30.6473,29.9361,29.9176,37.4751,27.6548,33.909,27.2663,38.2458,30.2756,29.8009,31.9089,40.6441,39.9029,18.9571,34.5751
"LYPLAL1",24.8183,33.2637,29.5366,25.7787,26.598,32.2309,22.8988,29.3985,19.9196,22.139,16.8328,17.4701,33.325,24.4059,28.5636,29.7072,45.4261,21.5289,34.2075,18.1177,31.7457,30.8496,34.5022,24.206,27.6697,49.5192,25.1259,21.6341,26.7353,30.2195,33.2574,22.9636,37.494,37.6218,29.1269,29.5553,30.3683,44.177,29.744
"ECPAS",13.3998,NA,NA,NA,NA,NA,12.134,NA,21.4906,NA,NA,NA,8.86323,12.2872,NA,6.57671,NA,NA,NA,8.92013,NA,14.9804,NA,NA,NA,NA,NA,19.7472,NA,7.511,NA,10.2824,12.7725,NA,NA,13.7342,11.364,NA,4.53462
"JAKMIP3",16.5518,19.7283,17.9301,NA,28.562,24.3662,NA,NA,38.1099,NA,NA,NA,NA,32.7022,NA,25.7051,25.8394,NA,NA,21.9438,49.1238,29.8573,NA,NA,32.4599,NA,NA,43.8958,NA,NA,NA,25.1757,31.0935,31.2027,NA,34.0009,28.3355,24.1002,27.3091
"MBNL1;MBNL2",23.7884,22.3298,20.8868,15.3032,28.8403,29.9408,27.6179,28.5246,26.551,26.6485,31.8616,31.9439,23.1381,26.0235,37.6156,36.2865,29.4999,32.9014,17.0993,28.473,28.1435,30.8422,21.0186,28.2125,30.6499,16.2495,22.5956,30.9358,32.9152,32.0197,33.0281,27.5963,21.6856,26.1117,28.9066,38.8568,30.968,32.3577,24.0463
"MICOS13",99.5764,59.1656,80.09,54.2079,60.7385,70.1845,84.1817,78.8537,68.634,80.6772,70.1246,69.5142,69.6662,64.2237,72.8065,93.076,65.1293,77.3474,42.3641,67.2684,77.5461,59.6649,84.6017,57.9206,68.3864,82.4169,71.5715,88.5795,69.7394,66.7562,67.5103,59.5265,66.9363,63.1509,77.8991,57.5204,83.0712,65.9802,52.2783
"PLCXD3",45.2503,41.4412,51.26,30.0218,46.973,38.275,30.7688,46.2487,30.8892,28.7521,46.2587,NA,50.7365,34.3596,44.1509,38.0642,63.5448,39.1379,70.4422,58.0398,NA,42.381,58.6089,50.2302,34.6338,40.0224,41.3009,37.0846,51.1924,41.4854,70.9347,42.9359,62.6872,55.1856,43.5556,40.2225,40.857,56.2295,38.1205
"WASHC2A;WASHC2C",15.0349,23.8363,15.3984,29.5752,30.8573,10.675,21.7737,15.2448,NA,NA,NA,27.4098,15.5611,14.8326,16.5842,9.52567,24.3005,20.1373,19.5055,14.4194,24.8026,24.3346,NA,NA,21.0573,12.5809,NA,NA,18.6003,29.505,NA,31.4452,20.1196,23.069,15.6912,16.8321,20.2737,22.1534,8.83931
"TBC1D9B",NA,NA,19.4995,NA,15.5066,24.4681,25.4239,20.7395,NA,21.7143,NA,NA,NA,18.5874,20.7755,15.7386,21.8964,8.39367,NA,NA,24.8178,NA,18.5618,9.59179,30.584,20.2776,22.1742,17.6764,19.7579,24.6311,33.2152,NA,26.3287,22.2943,22.5705,NA,25.4036,25.6591,NA
"MAP1S",66.4192,54.5737,47.7469,58.7672,48.5065,61.1583,51.8831,54.1137,54.9953,64.9112,49.7794,63.916,56.6041,58.9557,55.7365,59.3637,56.7701,55.4279,66.9671,36.6434,58.452,74.3071,56.9771,56.4497,57.8168,53.7735,52.8537,48.0555,63.7365,66.6534,57.0692,62.048,56.3777,56.0885,50.5648,44.7014,63.1321,55.5192,63.0257
"PPP2R2D",18.2777,37.8638,25.6544,27.9402,35.4084,24.904,27.373,24.6187,25.6516,19.3012,25.9509,26.9678,26.3202,15.7075,31.0013,25.8443,26.3837,26.866,NA,22.6621,14.3833,28.0295,32.7034,17.9879,30.8994,27.32,27.6861,30.3425,25.3542,47.5958,40.6832,18.9587,28.8283,24.5999,23.3651,24.8489,26.7304,37.6542,29.5551
"KAZN",NA,29.2067,NA,13.1063,11.9686,16.3335,14.6684,13.9655,11.2952,12.7736,11.7676,25.4287,23.373,13.2157,18.5035,20.7529,18.355,13.5297,NA,NA,14.9129,24.1013,20.5943,14.5472,16.611,15.9028,14.2855,NA,9.29822,16.726,NA,NA,23.1316,18.7404,16.549,18.9682,21.3074,9.06353,17.5018
"RAP1GAP2",46.9389,43.5966,43.3809,44.4873,50.5185,46.9359,46.7262,45.36,42.5644,50.3187,42.6065,48.263,43.5782,43.3602,44.6462,55.5102,34.2636,70.4514,31.7422,29.0627,41.1639,51.5716,40.4972,44.2256,37.8578,47.4639,58.677,31.4937,39.0886,47.8487,50.9088,50.0991,38.6175,42.7907,46.2487,35.8555,47.344,24.0599,45.989
"TNS3",NA,NA,49.2036,NA,NA,28.5968,49.3483,NA,NA,NA,NA,44.0236,48.3987,NA,58.4455,40.0459,92.2975,NA,105.044,NA,NA,NA,NA,NA,52.8796,50.7679,NA,62.4435,66.0625,37.1737,34.7881,45.241,76.1328,NA,52.8577,NA,59.9689,60.4085,NA
"MBLAC2",86.3174,67.7082,85.4962,70.1962,73.2034,83.4491,92.8675,78.0102,99.1788,74.8681,53.7203,83.995,91.0935,81.3048,79.7394,94.6124,69.9572,82.3297,100.769,53.4901,78.1826,76.6387,89.9539,72.7386,103.586,94.977,97.044,114.799,67.3593,93.522,79.9372,88.0814,79.6612,90.719,101.259,90.8433,99.0183,76.1795,99.477
"KCTD16",59.4395,39.5189,50.0848,44.4792,45.3745,43.8477,45.8945,50.7441,41.903,54.1804,62.0948,32.0023,46.2786,43.407,53.6057,45.8044,38.7831,54.8006,42.0669,43.3224,35.2234,37.5526,48.4075,47.9891,55.1336,46.6517,44.5165,40.0773,34.6175,50.4094,37.7416,43.1617,43.8501,43.6291,48.5204,49.587,52.0278,31.7313,44.6445
"STUM",6.68867,20.7826,37.0719,22.4558,37.0058,23.3389,27.2616,19.1853,32.2113,22.3189,12.4302,20.5266,18.5004,42.3556,6.26415,20.7083,33.4701,12.2389,24.7485,NA,35.0296,21.3082,32.0189,19.1741,30.3873,15.8979,39.4767,49.2898,15.7297,48.9963,NA,23.0712,10.3419,39.9198,51.3554,24.7092,28.3604,52.0898,46.2893
"CYB5R2",6.38433,45.2555,37.9782,23.5158,43.6917,29.288,19.7251,44.8876,26.6766,50.1252,29.6006,58.5455,28.5698,25.1769,28.4748,21.4379,23.1783,36.6595,NA,42.5075,41.635,55.2246,42.2235,32.7646,30.4134,33.4415,22.7375,24.3762,34.3801,39.4968,NA,43.9787,42.8643,39.095,19.4785,79.3268,55.0708,27.9301,46.4418
"H2BC19P;H2BC20P",618.949,1396.87,1134.7,866.3,732.858,864.941,864.715,1139.41,636.515,1336,978.049,1328.16,658.673,622.369,1335.74,738.619,2221.7,1275.95,1319.22,1226.63,1348.74,1847.81,1060.71,1176.19,1246,949.653,777.853,1134.88,2140.18,1329.41,2405.31,1169.01,1536.23,1213.3,735.948,2100.43,1480,1363.95,801.031
"IQSEC1",215.644,164.17,197.422,115.103,183.282,205.567,226.856,218.042,224.477,188.098,168.093,160.876,220.476,232.069,205.251,215.411,161.01,181.956,172.027,124.585,165.72,213.042,210.768,175.615,200.659,230.417,234.917,208.881,161.815,228.541,153.862,212.376,180.876,178.266,209.703,185.733,214.647,164.254,230.384
"CARMIL2",9.4429,8.63874,15.841,23.2459,16.4001,23.4915,15.6232,16.2066,14.58,15.8699,14.6396,16.9366,18.0742,16.4005,13.0987,10.7449,4.49991,20.2283,NA,14.763,NA,16.7953,NA,21.4973,10.0084,16.5607,19.1985,11.4375,25.0286,9.71831,27.8536,16.9625,7.48898,15.4693,21.3625,NA,18.5255,7.918,12.4456
"CIAPIN1",23.3152,27.5136,27.9829,22.1608,26.762,36.0494,25.365,29.681,28.3385,25.8128,30.3043,24.0555,26.3144,27.7523,25.7387,27.084,26.0949,24.5821,15.9667,25.5901,31.4452,22.7084,24.9938,16.0351,19.7676,26.1199,27.5171,20.8128,21.5477,19.8461,31.2862,22.3739,24.069,29.7293,24.3833,18.6951,29.3085,17.7282,19.426
"PTRHD1",26.9527,25.0648,34.4906,37.4144,40.7806,46.3961,57.7439,57.8174,40.7169,38.5686,34.1081,52.6361,33.2384,41.3608,49.7142,40.473,102.813,54.964,47.1359,23.113,47.4975,51.0219,39.1028,50.5177,73.8944,48.0491,42.7286,65.434,103.73,52.8453,71.2599,47.821,74.5701,58.5034,39.9887,62.8757,45.9195,91.0324,46.6897
"OTUD7B",NA,NA,NA,12.8041,NA,14.2553,11.2902,NA,NA,NA,NA,NA,NA,NA,9.62237,NA,7.62401,NA,NA,NA,NA,NA,15.8517,NA,9.08208,NA,8.06988,10.5886,NA,NA,NA,NA,NA,4.42473,NA,14.3734,NA,NA,NA
"ABLIM2",97.9844,74.4996,60.5715,93.4642,96.0865,113.316,105.652,96.6344,72.8613,109.779,97.1389,91.0291,96.6496,88.5797,101.436,93.1507,64.8197,100.96,84.1287,97.3873,77.8587,93.7592,99.0092,89.6926,81.0462,70.6876,90.3378,66.9183,48.074,65.027,65.3198,97.6756,80.8304,72.999,92.316,71.0978,90.1651,57.0361,65.7058
"LAMTOR1",23.3389,28.8236,34.9657,19.4902,35.2615,29.1717,35.5341,29.3643,43.9389,27.279,28.9633,22.9612,28.2427,30.0622,32.0146,22.2719,27.4086,38.9064,45.193,22.0285,26.4715,30.5192,22.3406,25.9196,29.5907,38.4012,33.187,42.9654,26.9399,23.0815,37.6791,18.6065,25.7244,29.3097,37.8557,32.4034,33.9261,44.928,14.1939
"TWF2",121.079,152.015,102.315,147.761,132.599,144.063,132.47,122.842,109.578,124.073,107.129,129.777,121.162,127.4,128.718,143.542,146.39,124.59,108.077,115.361,112.089,101.353,124.967,131.37,130.534,131.052,116.36,126.458,165.22,157.856,117.559,124.401,117.168,117.94,139.373,122.826,140.837,101.106,152.769
"ETFRF1",NA,NA,NA,7.2776,9.63728,9.4486,NA,11.8171,NA,NA,6.33942,NA,12.1119,NA,13.7354,NA,11.5109,8.96742,10.321,8.09197,9.53244,5.5889,NA,NA,NA,7.05501,NA,NA,NA,NA,13.8199,NA,13.5542,NA,NA,NA,11.5353,NA,8.53483
"NAPEPLD",NA,10.6272,NA,NA,19.8545,15.2432,31.4334,NA,31.5227,16.6206,15.4674,15.7502,14.6712,16.8045,21.2432,21.2488,20.4278,24.3976,33.6063,24.9349,31.0601,15.0971,17.8212,NA,22.3503,30.3321,NA,20.2887,NA,23.4553,15.3837,32.3174,22.9692,24.3789,22.8914,26.6782,21.2844,11.5449,23.9985
"RAB12",28.8079,22.3282,31.4377,21.4032,28.4403,21.2518,22.4013,24.815,37.4014,26.482,24.0226,25.0661,31.7573,36.0436,27.5078,21.5683,25.455,31.5459,22.7099,17.4596,17.8357,35.6308,14.9286,27.4085,32.5616,25.8927,36.3544,40.5863,NA,31.008,32.6911,15.0839,23.0896,33.5301,37.3918,29.3649,24.2241,31.0542,34.7496
"SLC25A25",21.6146,NA,12.7685,NA,NA,27.3485,17.2135,25.8084,NA,NA,NA,NA,NA,20.9144,24.1555,NA,21.4221,NA,NA,NA,NA,18.5245,27.6012,NA,NA,NA,19.4471,NA,NA,NA,NA,NA,NA,NA,26.4686,NA,NA,36.5985,14.8207
"PDE12",35.4772,38.328,32.008,47.0039,25.1584,34.8595,36.1217,33.8697,51.6318,24.3874,29.191,36.6354,35.3326,30.4599,34.481,39.539,42.1754,34.6689,41.81,31.2338,33.6855,38.9938,38.4879,44.381,38.347,46.1129,38.0172,28.7595,38.4402,39.211,41.8327,35.2666,34.4464,36.2927,34.5068,42.5623,41.6331,46.7122,32.6197
"RGS7BP",18.9093,NA,22.1871,18.8891,26.9831,19.1625,25.1841,18.5134,24.2244,22.7185,26.7528,27.506,33.854,19.3256,NA,17.6162,21.3566,15.1069,NA,11.3278,20.0656,26.9509,33.7967,25.278,22.7822,31.9051,12.0545,20.4028,NA,NA,16.6975,20.9889,21.0416,27.7634,18.9873,NA,26.0367,NA,25.0526
"SLC25A24",27.4437,NA,26.772,32.5055,22.0674,31.1476,27.4694,25.8144,35.2546,26.4309,28.7237,14.0261,35.4304,28.2896,31.9058,29.1542,29.9031,31.0844,20.0857,NA,34.18,47.0661,25.4042,11.4882,38.4652,40.4068,18.8773,36.3649,46.2062,30.8576,42.7642,32.7373,23.6307,36.0883,28.213,25.0988,31.5406,43.9008,31.2375
"CRACDL",53.107,50.1561,35.5917,61.3793,51.5076,58.5673,45.3681,43.7292,32.6965,41.473,35.4708,57.3994,41.5054,47.166,37.2538,56.6559,27.1957,38.966,41.8843,43.6257,37.1896,44.3438,44.5057,46.6306,33.9611,42.7395,37.9647,31.8252,20.5298,31.5576,22.1781,45.3697,23.2819,42.3908,40.3537,23.7865,41.0506,29.2298,44.488
"HIBCH",75.4057,93.5379,73.7025,92.2857,63.6795,67.9322,86.5782,79.4883,80.6381,76.5712,57.9881,91.191,86.8734,82.4393,76.5505,83.0486,86.0626,105.465,81.1776,82.2418,58.9502,89.8493,81.4977,76.3937,81.5764,63.3601,75.2206,77.0549,127.473,89.0459,92.8763,77.3634,108.233,90.4309,90.1081,80.3705,85.8899,95.9411,81.0688
"ARMC6",NA,NA,22.0214,18.2662,27.9122,NA,17.7663,21.917,NA,NA,15.42,20.5116,13.3884,29.018,17.3119,16.7242,NA,NA,13.6211,25.9844,NA,28.1386,NA,49.3438,21.6751,21.2647,16.2425,NA,NA,23.5361,NA,NA,19.1351,20.8985,23.2598,NA,21.2992,NA,22.7539
"CAVIN1",54.485,98.8604,44.6026,62.696,36.5844,61.5298,60.0341,79.0444,76.7049,41.6025,81.6536,53.3717,69.6143,42.8531,168.216,51.7801,121.36,129.292,64.4249,50.1326,49.4663,421.872,46.9385,55.6507,124.048,165.001,58.5581,292.915,136.877,52.3083,632.122,57.4193,113.014,86.5266,50.1484,105.136,65.3512,130.405,45.9317
"CC2D1A",24.1716,36.6434,21.1866,19.5579,32.1429,32.732,36.1663,31.57,41.6846,29.1018,22.5395,72.5618,26.8677,28.4651,28.3443,23.1975,30.7309,33.6723,28.2966,23.2632,25.9515,25.9397,76.6744,25.5143,22.5339,32.5828,35.3407,27.8762,35.6928,44.7323,29.0756,35.1013,36.3595,31.1046,28.2276,31.2551,29.7413,30.0967,32.0154
"C8orf82",16.2275,NA,16.0277,7.87195,13.7545,NA,NA,18.5454,20.1168,11.9449,16.3502,NA,12.9212,15.1177,7.11254,11.5577,4.01224,12.0934,NA,NA,NA,8.28796,NA,8.73118,12.977,NA,16.9398,NA,20.7009,12.1043,NA,NA,13.2545,15.969,7.41944,NA,8.97415,29.9079,12.0322
"EDC4",41.6367,31.8376,53.8071,47.9143,NA,51.0576,68.8656,53.1066,NA,36.073,61.4591,55.7692,44.6406,50.917,54.252,44.4908,59.0155,NA,60.4661,24.0012,59.8223,NA,55.1189,NA,NA,46.9269,66.9432,71.4276,NA,NA,NA,NA,49.1583,51.5922,57.5577,42.6648,43.1238,72.8165,43.9974
"PRPF8",22.5677,20.2104,29.6259,26.3442,23.3333,25.0062,22.5498,22.2079,28.9338,35.2599,31.5618,32.7086,24.6186,22.8197,28.8406,28.5113,36.8771,30.5034,27.0918,28.9264,28.8855,30.1915,27.0343,22.2791,35.6938,25.0389,29.1568,26.1771,26.148,33.672,33.2988,26.4081,34.6545,25.939,19.3811,26.5692,26.4415,27.3726,21.3103
"SCYL2",NA,13.6499,12.6606,NA,20.8799,15.2919,11.8844,15.3159,NA,NA,22.9497,NA,23.1481,17.9619,NA,NA,21.3024,17.1378,NA,NA,NA,25.2827,18.6675,NA,11.9215,NA,12.3087,NA,NA,NA,NA,NA,15.5012,NA,NA,NA,21.6539,NA,NA
"FAHD1",53.6243,58.7692,41.8337,54.5887,68.5834,58.5269,53.9343,49.9651,56.7798,54.7435,46.3292,54.4354,66.4201,42.3811,64.7394,46.6103,41.5168,33.0246,50.768,68.7741,56.5274,30.3108,44.3703,43.5882,46.7302,41.0073,43.9713,55.7353,38.8754,44.875,44.7385,45.7243,37.585,43.7371,58.4258,42.1898,40.6764,48.6493,52.2207
"FAM171B",NA,10.415,21.7619,NA,NA,NA,42.6239,44.0457,NA,43.3696,NA,21.6922,31.9848,52.0296,NA,22.6918,37.6421,NA,NA,NA,NA,NA,NA,NA,74.065,19.8451,22.4459,33.4355,NA,31.0702,NA,18.1194,NA,NA,NA,NA,31.9694,102.745,NA
"MEAK7",21.1612,9.69677,NA,NA,6.55171,13.6847,10.7417,30.7418,19.6285,12.7368,NA,12.5584,22.3077,20.3499,15.3422,14.2198,12.2233,NA,NA,7.39058,17.124,12.2678,22.5552,NA,10.3079,9.07854,25.3925,17.9569,8.23005,19.141,NA,23.5072,10.6381,NA,22.0416,8.12007,22.9886,16.2143,12.6236
"SLC27A1",50.5891,NA,13.1605,NA,NA,19.4809,23.5957,33.1963,NA,19.894,NA,14.9762,14.6401,19.074,NA,12.6742,22.0898,24.3984,NA,NA,8.74404,27.3749,NA,NA,39.0627,NA,NA,24.7765,NA,19.4224,23.7996,20.9673,21.3336,NA,27.4627,NA,21.6924,48.4479,21.4621
"PGM2L1",270.203,243.454,319.093,229.044,316.587,297.842,230.905,272.514,309.971,278.914,212.992,272.649,346.366,280.348,231.888,255.03,247.834,257.245,189.574,179.548,297.28,325.19,316.773,289.662,278.159,256.45,319.863,235.604,190.797,261.108,228.118,261.304,207.424,275.468,310.986,220.012,304.821,215.988,325.056
"TUBA3E",1252.17,962.831,1448.7,1144.32,1668.77,1768.02,1435.21,1446.36,1208.82,1421.76,1507.69,1474.14,1238.21,1248.59,1196.72,1491.3,1245.67,1243.55,1435.3,1342.6,1584.84,1078.94,1494.5,1400.51,1147.88,1153.64,1456.47,1373.31,1006.14,1284.15,893.494,1406.67,1018.12,1413.67,1256.34,1021.7,1498.27,831.754,1455.38
"TTC37",21.0844,15.1981,NA,NA,NA,22.7549,14.3496,14.6928,18.5029,NA,NA,18.0745,20.865,23.646,22.7124,14.6965,18.7098,18.3581,NA,NA,15.4713,35.0728,24.2535,9.09035,21.3948,24.1844,18.3744,32.8545,NA,23.9689,32.4399,23.2959,20.7379,27.3905,17.5663,5.81601,16.2578,22.4743,14.2202
"DARS2",29.3873,20.457,21.999,NA,32.0714,22.7902,33.2585,27.8134,40.4636,26.8826,24.6958,23.3397,31.5645,24.711,21.666,27.7933,25.32,18.026,NA,NA,NA,16.6061,24.2797,17.5114,24.909,39.0829,20.6753,20.329,NA,25.8573,53.4933,14.4543,20.3645,28.9927,19.2906,34.8632,26.4677,41.2684,23.9691
"TMEM65",NA,NA,17.4116,NA,25.1914,NA,34.6041,23.495,NA,35.9218,NA,28.1809,26.2072,33.0885,20.8939,NA,20.6824,24.3839,28.1019,NA,25.6448,NA,NA,NA,15.7912,13.239,16.8598,NA,NA,NA,NA,11.6946,NA,22.872,62.4632,NA,15.9629,50.0025,27.3565
"NCEH1",64.9215,40.2926,59.815,24.7312,92.4543,64.0615,116.787,107.786,134.24,84.0045,68.3791,46.2379,75.617,134.044,70.7701,80.7767,83.8847,63.9245,108.715,18.6597,59.5422,63.8663,56.1462,43.259,119.406,78.6844,110.551,127.722,78.5818,87.2692,61.6065,86.5106,92.9122,111.748,134.482,57.5529,67.8265,154.648,92.3534
"LARP1",31.2902,36.2607,35.4046,41.519,34.8783,41.3145,41.0858,35.864,28.7862,29.7317,28.7701,46.9721,32.4633,44.546,37.0447,42.9405,28.9881,34.4405,30.084,24.3741,29.8354,33.8732,33.0193,33.0309,30.5572,36.7057,32.1493,40.5933,30.7566,31.6809,37.8964,39.4481,26.214,31.3678,35.6592,25.492,35.0427,30.3477,29.4651
"TMED8",20.9069,21.7195,11.9205,22.4415,22.7512,18.1798,14.8043,11.1918,16.6806,23.1187,18.572,25.1613,17.114,14.6913,14.4777,20.7416,22.4919,NA,NA,13.5697,NA,25.8913,19.8426,21.6877,25.674,20.8258,NA,NA,13.267,22.7925,NA,14.7983,22.1359,NA,NA,10.8648,22.4198,18.2029,14.8097
"CPLX2",199.171,282.483,260.329,384.869,352.867,224.496,259.986,241.651,340.634,361.476,274.092,227.744,422.385,294.429,231.471,184.127,129.923,337.247,159.245,306.589,229.231,172.85,293.41,428.221,191.605,251.343,238.68,105.729,137.897,114.001,141.964,258.384,250.965,257.036,448.146,188.773,193.098,205.864,204.159
"BLOC1S2",16.649,27.9845,29.7647,32.385,24.5442,26.5804,35.8819,37.0226,32.0239,24.049,38.0382,35.5623,32.7916,20.7224,29.0336,19.1514,36.9915,41.6892,45.4416,31.2834,22.5465,21.7368,34.3682,38.2285,34.1678,25.2641,39.9551,25.7808,NA,NA,59.6746,35.1525,36.9767,31.3635,37.6765,36.826,34.7894,28.8848,21.2827
"SLC4A10",28.4967,28.4766,37.5391,63.3796,36.321,25.2601,45.6118,60.3232,101.182,32.3341,59.3723,16.2727,38.7834,56.9749,28.3487,35.173,59.318,31.3994,39.1349,14.6646,27.6654,81.961,28.0348,37.5244,33.5041,45.376,57.4494,58.1692,19.8019,36.0338,23.3589,53.2418,41.3393,46.947,61.3098,34.186,34.2119,44.0719,37.8142
"CRTC1",43.8148,46.8069,33.744,45.889,43.6127,47.8338,56.3709,37.3646,35.7606,39.2601,32.2704,55.716,41.0644,46.7115,44.2338,46.3215,30.8393,57.5279,39.2556,48.9053,53.4347,48.3284,24.6265,34.47,49.6048,38.3403,33.0811,39.2749,42.2623,43.8291,57.0504,44.424,31.1261,45.6703,33.1476,50.6598,40.0937,25.1002,42.0851
"LRSAM1",51.7597,47.3943,49.0984,55.0335,69.4774,66.4719,77.1466,74.2918,46.2086,33.8011,58.4182,66.7434,73.4945,61.923,66.0979,49.6413,63.6472,70.0424,73.4517,54.8402,50.0416,98.0568,51.5981,40.5707,67.4214,59.7629,79.0782,62.7566,44.2038,55.5914,81.4122,48.9373,54.3538,83.4444,51.4674,44.5767,64.6304,61.4796,65.6587
"ENPP6",24.7515,93.9944,99.3936,44.4345,100.348,58.7438,62.0129,70.0639,44.3897,124.913,69.8007,170.717,64.296,53.575,78.6542,44.3232,90.1824,60.897,36.9957,124.08,73.0378,121.629,131.164,40.6378,147.429,107.71,92.6081,136.665,31.0854,71.769,297.947,120.633,113.904,108.325,83.8074,97.4905,77.6769,105.692,30.688
"ENPP4;ENPP7",6.9897,12.0013,NA,NA,13.6742,NA,17.1131,15.1834,18.3877,NA,NA,12.4473,NA,14.1807,NA,18.598,NA,NA,NA,NA,NA,NA,10.7312,NA,NA,NA,NA,24.4174,NA,NA,NA,7.99931,NA,22.6163,18.4891,NA,15.5556,18.2766,8.34838
"PI16",NA,NA,NA,NA,NA,NA,18.7679,8.43877,NA,NA,NA,NA,6.56002,NA,16.7682,NA,18.0092,NA,15.9224,NA,NA,NA,NA,3.6846,NA,8.11242,NA,NA,20.8856,NA,15.7353,NA,14.2579,11.1524,6.79637,NA,5.00962,32.1683,NA
"SEZ6L2",11.8687,13.6969,10.1362,NA,12.4653,13.666,15.1524,12.3777,15.4815,NA,9.95223,NA,12.8084,16.0089,10.0931,13.0103,11.5678,8.09756,NA,7.70814,4.83621,12.4555,NA,NA,12.1494,6.27521,14.0879,17.5682,NA,NA,NA,19.1065,14.8264,17.8818,19.4026,NA,14.807,NA,11.7778
